,ADJOE,ADJDE,W,G
count,748.0,748.0,748.0,748.0
mean,0.5411035488575595,0.40464445271779603,0.4633895516248458,33.224598930481285
std,0.16562720907484035,0.16805477673647665,0.16895172801074984,3.4987600365575955
min,0.0,0.0,0.0,15.0
25%,0.4311688311688311,0.2911392405063293,0.3461538461538461,32.0
50%,0.5454545454545454,0.3892405063291138,0.4615384615384615,34.0
75%,0.651948051948052,0.516613924050633,0.576923076923077,35.0
max,1.0,1.0,1.0,40.0
mode,0.5454545454545454,0.3670886075949364,0.4230769230769231,33.0
